"";"ILI rate";"αρ. γριπωδών συνδρομών";"αρ. επισκέψεων";"ILI rate variance";"Παθολόγοι / Γεν.ιατροί που δήλωσαν";"Παιδίατροι που δήλωσαν";"Εκτιμώμενος πληθυσμιακός παρονομαστής (σύνολο)"
"200428";0,11;48;9414;20,2910569023842;63;36;138411
"200429";0,09;26;9795;7,5603571341274;71;41;156233
"200430";0,01;31;10172;2,84347616971079;63;41;141283
"200431";0,02;30;11616;2,12850174072654;77;44;169169
"200432";0,02;22;11438;1,47501414140175;74;40;161265
"200433";0,87;26;9185;1,39074337851497;79;43;172332
"200434";0,02;21;11834;14,6934469215391;87;48;190154
"200435";0,01;31;12316;23,4891808341332;91;51;199352
"200436";0,3;27;13276;1,7332239983781;94;53;206107
"200437";0,03;23;12469;10,3936176161649;89;54;197338
"200438";0,04;41;13100;13,6765580291746;94;53;206107
"200439";0,14;49;14660;3,75052828284934;89;51;195615
"200440";0,04;65;14735;17,054190615338;96;58;212717
"200441";0,15;74;15716;2,91422560173672;93;57;206536
"200442";0,04;61;15549;15,9142126935295;95;55;209125
"200443";0,02;72;14393;14,2936376860452;90;49;196335
"200444";0,19;77;12516;10,4464626505933;93;51;203090
"200445";0,06;72;15277;2,64517357568448;91;56;202224
"200446";0,06;83;14388;3,19899078451257;88;56;196618
"200447";0,2;80;14738;2,99718472565289;94;56;207830
"200448";0,37;122;13534;1,89279685694127;89;55;197912
"200449";2,17;81;14088;1,22541342653784;86;52;190583
"200450";0,73;124;14604;1,54462008765692;87;48;190154
"200451";0,33;121;14775;2,38096775560073;94;48;203235
"200452";2,76;87;10386;1,27278425571646;76;32;160407
"200453";1,74;116;8569;1,78452014011337;65;33;140425
"200501";2,13;118;9959;1,45605845115553;72;58;167866
"200502";1,89;241;18635;1,35039503215398;104;68;233411
"200503";4,47;274;17404;1,22513029066075;108;66;239737
"200504";12,83;482;17601;1,04730853498879;108;66;239737
"200505";19,75;698;20387;1,0240979896524;121;77;270349
"200506";33,1;1114;21337;1,00432321924153;119;73;264314
"200507";27,3;924;20348;1,01173273334522;106;75;241169
"200508";24,67;640;18152;1,01652360229519;103;65;229819
"200509";15,49;506;17968;1,02796654037181;109;68;242755
"200510";12,87;417;18025;1,03453021733511;105;73;238152
"200511";8,58;304;15549;1,04419072149125;101;76;232400
"200512";4,6;245;16037;1,06477790356432;104;77;238580
"200513";2,86;203;17721;1,0778319182075;99;74;227513
"200514";0,93;130;18985;1,93932643177235;106;75;241169
"200515";0,42;129;17781;1,83830199664748;106;71;238872
"200516";0,22;108;16579;1,89298409959816;96;67;217886
"200517";0,18;46;9695;1,32412175454352;73;61;171458
"200518";0,18;63;10353;2,81930392450853;78;70;185972
"200519";0,09;75;15272;2,2856506154773;92;65;209262
"200520";0,19;58;14258;1,39164103007715;89;63;202507
"200521";0,09;48;13754;2,3162905724731;91;54;201075
"200522";0,04;39;13818;1,88547277494789;92;54;202944
"200523";0,05;37;13375;3,77645901904021;89;52;196189
"200524";0,14;43;13147;2,734971799527;89;56;198487
"200525";0,06;24;12553;1,51202288990685;94;55;207256
"200526";0,05;26;12375;1,80054446243908;82;50;181959
"200527";0,06;38;12257;11,0694262628198;79;44;172906
"200528";0,01;19;11770;21,7473076986395;78;41;169314
"200529";0,01;20;9675;30,020215719645;71;48;160254
"200530";0,05;40;10456;1,71243512576516;66;36;144017
"200531";0;25;10639;3,70489593553167;65;32;139851
"200532";0,04;28;10113;14,7155958952868;65;29;138127
"200533";0,02;23;7976;8,13508607745211;64;34;139131
"200534";0,69;36;10399;1,38849337199837;70;39;153215
"200535";0,01;31;12042;10,9721511016896;76;43;166725
"200536";0,06;20;11049;2,86381227484216;75;43;164857
"200537";0,05;30;12361;9,63119757847878;78;42;169889
"200538";0,04;73;14549;3,67492624103693;89;47;193317
"200539";0,07;84;14623;5,99559745682344;87;48;190154
"200540";0,35;127;15534;2,04506141214433;90;47;195186
"200541";0,19;172;17807;1,84206802109091;95;50;206253
"200542";0,2;153;17886;2,05829199316143;119;77;266612
"200543";0,09;90;13862;2,8885024029146;103;62;228096
"200544";0,69;182;15971;1,87963906751473;94;53;206107
"200545";0,04;134;15412;3,00997753079637;95;58;210848
"200546";0,43;122;14541;2,58756272924694;94;55;207256
"200547";0,18;81;14315;2,98173955524088;92;55;203518
"200548";0,26;76;16240;2,13414983573068;97;54;212288
"200549";0,53;72;15262;1,91475942522744;96;58;212717
"200550";0,24;93;15061;2,0623442264493;95;58;210848
"200551";0,32;93;12893;2,15248513148271;90;49;196335
"200552";1;86;9279;1,89347322517482;87;46;189005
"200601";0,89;98;11318;1,54436141763399;88;49;192597
"200602";1,94;174;18498;1,11379528630493;106;65;235425
"200603";2,95;218;18141;1,13280697408116;103;66;230393
"200604";2,07;194;14953;1,49513660115563;103;66;230393
"200605";5,04;287;18466;1,10346792728433;107;68;239017
"200606";6,1;429;18048;1,05331829890928;107;70;240166
"200607";10,21;518;18335;1,04123534316111;92;67;210411
"200608";11,99;571;19212;1,03954558076401;108;67;240312
"200609";11,12;600;19840;1,0418965748672;105;70;236428
"200610";10,16;487;16550;1,05594100406773;106;66;236000
"200611";12,71;510;17734;1,03460765219875;102;63;226801
"200612";5,49;452;17681;1,10500439259172;103;66;230393
"200613";4,81;286;17787;1,06138688918327;109;62;239308
