"";"ILI rate";"αρ. γριπωδών συνδρομών";"αρ. επισκέψεων";"Παθολόγοι / Γεν.ιατροί που δήλωσαν";"Παιδίατροι που δήλωσαν";"Εκτιμώμενος πληθυσμιακός παρονομαστής (σύνολο)"
"200428";5,06;48;9414;63;36;138411
"200429";2,55;26;9795;71;41;156233
"200430";2,07;31;10172;63;41;141283
"200431";2,26;30;11616;77;44;169169
"200432";1,32;22;11438;74;40;161265
"200433";2,51;26;9185;79;43;172332
"200434";2,54;21;11834;87;48;190154
"200435";2,61;31;12316;91;51;199352
"200436";2,04;27;13276;94;53;206107
"200437";1,57;23;12469;89;54;197338
"200438";2,75;41;13100;94;53;206107
"200439";4;49;14660;89;51;195615
"200440";4,57;66;14735;96;58;212717
"200441";6,07;74;15716;93;57;206536
"200442";4,24;61;15549;95;55;209125
"200443";5,01;72;14393;90;49;196335
"200444";5,82;77;12516;93;51;203090
"200445";5,13;72;15277;91;56;202224
"200446";6,04;83;14388;88;56;196618
"200447";6,31;80;14738;94;56;207830
"200448";9,72;122;13534;89;55;197912
"200449";7,09;81;14088;86;52;190583
"200450";11,66;124;14604;87;48;190154
"200451";9,45;121;14775;94;48;203235
"200452";13,65;87;10386;76;32;160407
"200453";20,37;116;8569;65;33;140425
"200501";15,69;118;9959;72;58;167866
"200502";17,95;241;18635;104;68;233411
"200503";20,42;274;17404;108;66;239737
"200504";34,11;482;17601;108;66;239737
"200505";39,39;698;20387;121;77;270349
"200506";62,31;1114;21337;119;73;264314
"200507";49,77;924;20348;106;75;241169
"200508";42,54;640;18152;103;65;229819
"200509";31,09;506;17968;109;68;242755
"200510";27,41;417;18025;105;73;238152
"200511";21,78;304;15549;101;76;232400
"200512";16,88;245;16037;104;77;238580
"200513";11,56;203;17721;99;74;227513
"200514";7,21;130;18985;106;75;241169
"200515";7,65;129;17781;106;71;238872
"200516";8,35;108;16579;96;67;217886
"200517";7,03;46;9695;73;61;171458
"200518";7,14;63;10353;78;70;185972
"200519";6,6;75;15272;92;65;209262
"200520";4,36;58;14258;89;63;202507
"200521";4,08;48;13754;91;54;201075
"200522";2,41;39;13818;92;54;202944
"200523";2,65;37;13375;89;52;196189
"200524";4,2;43;13147;89;56;198487
"200525";2,39;24;12553;94;55;207256
"200526";2,69;26;12375;82;50;181959
"200527";4,21;38;12257;79;44;172906
"200528";0,99;19;11770;78;41;169314
"200529";1,96;20;9675;71;48;160254
"200530";3,35;40;10456;66;36;144017
"200531";2,33;25;10639;65;32;139851
"200532";2,83;28;10113;65;29;138127
"200533";1,58;23;7976;64;34;139131
"200534";2,8;36;10399;70;39;153215
"200535";5,58;31;12042;76;43;166725
"200536";2;20;11049;75;43;164857
"200537";2,88;30;12361;78;42;169889
"200538";6,79;73;14549;89;47;193317
"200539";5,16;84;14623;87;48;190154
"200540";11,3;127;15534;90;47;195186
"200541";13,46;172;17807;95;50;206253
"200542";10,54;154;17886;119;77;266612
"200543";6,99;90;13862;103;62;228096
"200544";13,62;182;15971;94;53;206107
"200545";10,8;134;15412;95;58;210848
"200546";10,83;122;14541;94;55;207256
"200547";5,73;81;14315;92;55;203518
"200548";4,76;76;16240;97;54;212288
"200549";4,18;72;15262;96;58;212717
"200550";6,78;93;15061;95;58;210848
"200551";9,44;93;12893;90;49;196335
"200552";10,49;86;9279;87;46;189005
"200601";9,2;98;11318;88;49;192597
"200602";10,62;174;18498;106;65;235425
"200603";13,89;218;18141;103;66;230393
"200604";17,59;194;14953;103;66;230393
"200605";18,71;287;18466;107;68;239017
"200606";26,32;429;18048;107;70;240166
"200607";31,89;518;18335;92;67;210411
"200608";34,07;571;19212;108;67;240312
"200609";31,77;600;19840;105;70;236428
"200610";30,46;487;16550;106;66;236000
"200611";29,54;510;17734;102;63;226801
"200612";23,6;452;17681;103;66;230393
"200613";16,86;286;17787;109;62;239308
"200614";17,16;285;17476;99;63;221195
"200615";13,35;211;16921;98;58;216454
"200616";10,87;108;10589;88;48;192023
"200617";8,44;84;9311;74;53;168732
"200618";8,88;102;13672;89;57;199061
"200619";6,87;92;16095;90;59;202078
"200620";6,83;81;15742;93;56;205962
"200621";4,81;55;13110;86;51;190008
"200622";6,28;56;12926;85;52;188714
"200623";4,04;53;13976;89;48;193891
"200624";4,73;46;11467;80;44;174775
"200625";5,15;43;12727;82;47;180236
"200626";3,9;30;10932;76;44;167300
"200627";4;34;12471;76;50;170746
"200628";2,76;37;13141;84;50;185696
"200629";9,29;49;10497;69;41;152495
"200630";2,19;24;9820;63;36;138411
"200631";1,42;18;10022;63;34;137262
"200632";3,59;43;11463;70;36;151492
"200633";4,48;43;7156;62;26;130798
"200634";6,11;35;10179;68;40;150052
"200635";3,3;36;11325;74;46;164711
"200636";5,58;38;13833;80;40;172477
"200637";3,17;34;13871;83;51;184402
"200638";5,52;69;15112;87;49;190728
"200639";6,36;92;15436;88;51;193746
"200640";7,84;80;15066;88;43;189151
"200641";5,96;79;35556;92;43;196626
"200642";7,62;79;12744;88;39;186853
"200643";6,98;90;13565;92;45;197775
"200644";5,9;72;15619;93;46;200218
"200645";5,77;83;13957;88;42;188576
"200646";4,91;95;17094;100;61;221915
"200647";5,96;105;16978;97;63;217457
"200648";5,9;79;14962;93;56;205962
"200649";6,2;87;16041;100;53;217320
"200650";6,83;103;16513;99;53;215451
"200651";8,49;101;13570;87;48;190154
"200652";18,68;145;7393;73;47;163417
"200701";38,23;435;12235;89;49;194466
"200702";40,21;796;21508;113;69;250804
"200703";56,47;1090;20810;107;75;243038
"200704";45,58;863;20824;115;67;253393
"200705";37,05;660;19649;117;73;260577
